band,n,mae_abs,mare_abs,max_ae_abs,mae_rel,mare_rel,max_ae_rel,flagged
alpha,2650,0.0053700180843039,7.527949745678675e-4,0.058585359920488855,1.9337154293666274e-4,0.005194906454437049,0.010156086590214275,FALSE
beta,2650,0.003382888875582072,3.492383620087902e-4,0.06411691346377779,1.37331234264967e-4,0.005005725102629265,0.0025060844382283898,FALSE
delta,2650,1.5009422776342758,0.004491476350633932,18.801571073004652,0.006461390103749526,0.008509036427289056,0.020652765282138663,FALSE
gamma,2650,0.003954434070086885,3.5939664143364394e-4,0.06630073235839262,1.2252188820480832e-4,0.0050022330873784005,0.0017258012612502566,FALSE
sigma,2650,0.002633415686172229,6.57401386586416e-4,0.025620612161771916,7.254827947005903e-5,0.004996982071328955,0.0016377627728557803,FALSE
theta,2650,0.03237702432916174,9.016873382536897e-4,0.27596784288466125,7.435852919295428e-4,0.005305587979796467,0.02057296823241056,FALSE
