feature,mae,max_ae,flagged
eog_hmob,1.2956919671354375e-8,7.881009345123147e-8,FALSE
eog_hmob_c7min_norm,6.594643208896128e-9,8.333450174369261e-8,FALSE
eog_hmob_p2min_norm,6.428404460647151e-9,8.256099315318011e-8,FALSE
eog_iqr,1.7101284179424974e-6,1.1971843292712947e-5,FALSE
eog_iqr_c7min_norm,7.3808287509563375e-9,5.690570259453409e-8,FALSE
eog_iqr_p2min_norm,7.219495776733906e-9,5.476223730038754e-8,FALSE
eog_kurt,0.003295520689510761,0.01763271282860046,FALSE
eog_kurt_c7min_norm,5.843956023786821e-9,1.1240558039915527e-7,FALSE
eog_kurt_p2min_norm,5.675837222331433e-9,1.0617097356835359e-7,FALSE
eog_nzc,0,0,FALSE
eog_nzc_c7min_norm,6.21102960504882e-9,9.331016381786128e-8,FALSE
eog_nzc_p2min_norm,6.4157191330332675e-9,1.0212804268938669e-7,FALSE
eog_perm,1.801295134014516e-8,5.920616685806124e-8,FALSE
eog_perm_c7min_norm,6.456878988257448e-9,5.452999896071731e-8,FALSE
eog_perm_p2min_norm,6.667873243087499e-9,5.398356683894434e-8,FALSE
eog_petrosian,3.748817749806148e-8,1.0961128826814104e-7,FALSE
eog_petrosian_c7min_norm,7.949019539749595e-9,6.940097807550671e-8,FALSE
eog_petrosian_p2min_norm,7.771947891080047e-9,6.659535345399092e-8,FALSE
eog_sdelta,0.010917831538477633,0.07654299352721383,TRUE
eog_sdelta_c7min_norm,0.014889727947463592,0.1171710223176784,TRUE
eog_sdelta_p2min_norm,0.016734891790484128,0.16541769328952283,TRUE
eog_sigma,2.9349086720299333e-10,3.4447465990794512e-9,FALSE
eog_sigma_c7min_norm,5.865814399226793e-9,1.0526683991152197e-7,FALSE
eog_sigma_p2min_norm,6.297361821592965e-9,1.0577695941371701e-7,FALSE
eog_skew,1.541533507535825e-4,0.0019020782471184106,FALSE
eog_skew_c7min_norm,6.244573459277376e-9,1.8492895170751922e-7,FALSE
eog_skew_p2min_norm,6.128372170294168e-9,8.673132567693642e-8,FALSE
eog_std,1.5908986364788845e-6,8.8582833370765e-6,FALSE
eog_std_c7min_norm,7.468595154340964e-9,5.811452608028844e-8,FALSE
eog_std_p2min_norm,7.2541647523396245e-9,5.823267446025682e-8,FALSE
eog_theta,1.202691227838238e-9,1.1380019010465148e-8,FALSE
eog_theta_c7min_norm,5.221458320534943e-9,1.0253384941094623e-7,FALSE
eog_theta_p2min_norm,5.740042926954996e-9,9.486359542343337e-8,FALSE
time_hour,2.626641223073214e-7,1.333333333519704e-6,FALSE
time_norm,1.1900361118567104e-8,5.8890147203172205e-8,FALSE
